FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
118,FLORENCE-FIRESTONE, ,34531.8735943,70624286.1531,FLORENCE-FIRESTONE,8561,18044,84,177,2021/01/30,9564578.30078125,12714.6391307034
119,HARVARD PARK, ,34413.7998157,62620642.102,HARVARD PARK,6517,17179,60,158,2021/01/30,8482086.61328125,12654.3784891322
120,WESTCHESTER, ,115126.335809,359230016.259,WESTCHESTER,2103,4075,36,70,2021/01/30,48624700.0078125,42351.3298430203
121,MARINA PENINSULA, ,17719.2044901,10162597.2237,MARINA PENINSULA,123,2821,1,23,2021/01/30,1376244.46875,6523.62155016472
122,PLAYA DEL REY, ,28610.7023918,18978789.3932,PLAYA DEL REY,94,2941,0,0,2021/01/30,2569350.80859375,10526.1681968622
123,VERMONT KNOLLS, ,26864.296763,31417368.125,VERMONT KNOLLS,2571,14948,43,250,2021/01/30,4254199.00390625,9881.3203763135
124,MANCHESTER SQUARE, ,18622.4685377,21250865.4565,MANCHESTER SQUARE,820,9606,7,82,2021/01/30,2877470.37109375,6854.84899972398
125,VERMONT VISTA, ,30925.3989435,51077275.6077,VERMONT VISTA,6883,16712,65,158,2021/01/30,6913927.0859375,11383.7556989097
126,GREEN MEADOWS, ,23931.6689816,34117649.2309,GREEN MEADOWS,3570,16601,32,149,2021/01/30,4617890.5703125,8806.66697273653
127,GRAMERCY PLACE, ,26306.7455158,31593783.1129,GRAMERCY PLACE,1178,10944,20,186,2021/01/30,4276335.1953125,9682.67830726501
128,WATTS,yes,35531.7880924,56253062.7208,WATTS,6803,15942,71,166,2021/01/30,7612083.484375,13071.3925593172
129,FIGUEROA PARK SQUARE, ,19131.8089662,18891834.8279,FIGUEROA PARK SQUARE,1246,14287,16,183,2021/01/30,2555966.3203125,7043.98819559399
130,CENTURY PALMS/COVE, ,31249.864195,58653988.875,CENTURY PALMS/COVE,5702,16887,59,175,2021/01/30,7935577.6015625,11491.0711371641
131,HARBOR GATEWAY,yes,114051.615367,140485563.013,HARBOR GATEWAY,4322,9913,45,103,2021/01/30,18977018.875,41974.8699451287
132,WILMINGTON,yes,125282.464126,212113189.938,WILMINGTON,7373,13053,66,117,2021/01/30,28596729.296875,46028.6032350011
133,HARBOR CITY,yes,70151.4724096,141800340.203,HARBOR CITY,2124,7307,25,86,2021/01/30,19115385.3828125,25771.1483102138
134,SAN PEDRO,yes,149422.994159,209011728.024,SAN PEDRO,6180,7919,84,108,2021/01/30,28143409.4179688,54821.2093984915
135,LITTLE BANGLADESH,yes,15828.7081789,13915649.7771,LITTLE BANGLADESH,2473,8725,21,74,2021/01/30,1888617.05859375,5826.91952783408
136,VALLEY GLEN,yes,31796.9271206,63082497.4344,VALLEY GLEN,3387,11284,48,160,2021/01/30,8585677.09375,11730.5239705926
137,RESEDA RANCH,yes,18708.7315689,14513752.6926,RESEDA RANCH,577,12446,2,43,2021/01/30,1976855.62890625,6902.33896752122
138,HARBOR PINES,yes,10876.8104413,6269908.06545,HARBOR PINES,146,6061,0,0,2021/01/30,845258.86328125,3991.75024519784
139,SYCAMORE SQUARE,yes,6644.15195776,2623157.81391,SYCAMORE SQUARE,26,4019,2,309,2021/01/30,355971.83984375,2447.86536514956
140,BROOKSIDE,yes,10335.5434463,5858064.39628,BROOKSIDE,30,5164,2,344,2021/01/30,794948.14453125,3805.23801231977
141,VIEW HEIGHTS,Yes,9976.48640597,6366350.33974,VIEW HEIGHTS,205,5550,4,108,2021/01/30,862412.265625,3672.72757858621
